ID,Gender,Age,Graduated,Profession,Spending_Score,Var_1,Segmentation
459231,Female,43,Yes,Artist,Average,Cat_6,C
466495,Female,78,Yes,Lawyer,High,Cat_6,B
459192,Male,35,Yes,Artist,Average,Cat_6,C
465710,Female,49,Yes,Artist,Low,Cat_6,C
460258,Female,25,Yes,Healthcare,Low,Cat_6,D
462813,Male,37,No,Executive,Average,Cat_6,A
463595,Female,32,No,Healthcare,Low,Cat_7,C
467768,Male,60,Yes,Doctor,Average,Cat_6,C
465291,Female,45,Yes,Artist,Average,Cat_6,C
462996,Female,49,Yes,Homemaker,Average,Cat_6,C
463497,Male,32,Yes,Artist,Low,Cat_6,D
465301,Female,40,Yes,Artist,Low,Cat_3,B
464702,Male,59,No,Artist,Average,Cat_4,C
459012,Male,48,Yes,Artist,Low,Cat_6,B
465053,Male,82,Yes,Executive,High,Cat_6,C
459420,Female,70,Yes,Lawyer,Low,Cat_6,B
464166,Male,31,Yes,Artist,Low,Cat_6,B
458987,Female,72,Yes,Lawyer,High,Cat_6,C
467745,Male,50,Yes,Artist,Average,Cat_6,C
464866,Female,23,No,Engineer,Low,Cat_3,D
461081,Female,20,No,Healthcare,Low,Cat_6,D
467896,Female,22,No,Healthcare,Low,Cat_6,D
463991,Female,31,Yes,Engineer,Low,Cat_6,A
466620,Female,36,Yes,Artist,Average,Cat_6,C
462594,Male,52,No,Entertainment,Average,Cat_4,B
462206,Female,29,Yes,Artist,Low,Cat_4,B
460697,Male,40,Yes,Artist,Average,Cat_6,C
467934,Female,40,Yes,Artist,Low,Cat_6,A
460054,Male,38,Yes,Artist,Low,Cat_6,C
459576,Female,85,No,Lawyer,Low,Cat_7,A
467910,Female,21,No,Doctor,Low,Cat_7,A
467335,Female,41,No,Engineer,Average,Cat_6,D
460263,Male,40,Yes,Artist,Low,Cat_6,B
459340,Male,53,Yes,Artist,Average,Cat_6,B
465622,Female,42,Yes,Artist,Low,Cat_6,C
459395,Male,42,No,Executive,Low,Cat_6,D
467539,Male,48,Yes,Artist,Average,Cat_7,C
466574,Male,59,Yes,Artist,Low,Cat_6,C
466544,Male,41,Yes,Executive,Average,Cat_6,A
463610,Female,31,Yes,Artist,Average,Cat_6,A
465539,Female,49,Yes,Artist,High,Cat_6,B
459823,Male,67,Yes,Executive,Low,Cat_6,A
467614,Male,35,No,Artist,Average,Cat_6,B
459073,Female,26,Yes,Healthcare,Low,Cat_6,C
466065,Male,19,No,Healthcare,Low,Cat_3,D
464863,Female,25,No,Engineer,Average,Cat_4,D
460022,Female,39,Yes,Healthcare,Low,Cat_6,A
459929,Male,63,Yes,Entertainment,Low,Cat_6,A
466613,Male,23,No,Healthcare,Low,Cat_6,D
461149,Female,23,No,Healthcare,Low,Cat_3,D
466068,Female,53,Yes,Artist,Low,Cat_6,C
461513,Male,33,Yes,Doctor,Low,Cat_6,B
464761,Female,50,No,Engineer,Average,Cat_2,B
466236,Female,69,Yes,Engineer,Low,Cat_4,B
459664,Male,37,Yes,Artist,Low,Cat_6,B
461967,Female,20,No,Marketing,Low,Cat_7,C
460516,Female,85,No,Lawyer,High,Cat_3,C
461710,Female,49,Yes,Doctor,Average,Cat_6,C
462742,Male,18,No,Healthcare,Low,Cat_3,D
459528,Female,52,Yes,Doctor,Average,Cat_6,C
462691,Male,25,No,Doctor,Average,Cat_4,B
462934,Male,56,No,Executive,High,Cat_6,A
465837,Male,62,Yes,Unemployed,Low,Cat_6,A
464613,Female,35,No,Artist,Low,Cat_6,B
467515,Male,28,Yes,Engineer,Average,Cat_6,A
463429,Female,28,Yes,Artist,Low,Cat_6,A
464024,Male,20,No,Healthcare,Low,Cat_7,D
460691,Female,27,No,Homemaker,Low,Cat_3,D
461825,Female,56,No,Engineer,Low,Cat_6,A
467271,Male,45,Yes,Artist,Average,Cat_6,B
465634,Male,25,Yes,Healthcare,Low,Cat_4,B
464801,Male,40,No,Marketing,Low,Cat_4,D
459429,Female,25,Yes,Healthcare,Low,Cat_6,D
459888,Female,74,No,Lawyer,High,Cat_6,D
463467,Female,23,No,Healthcare,Low,Cat_7,D
462036,Female,67,Yes,Lawyer,High,Cat_6,B
461282,Male,21,No,Healthcare,Low,Cat_7,D
460448,Female,38,Yes,Artist,Low,Cat_3,A
464464,Male,28,No,Healthcare,Low,Cat_2,C
462410,Female,32,No,Healthcare,Low,Cat_7,B
467252,Female,33,Yes,Unemployed,Low,Cat_7,D
459756,Female,56,No,Lawyer,High,Cat_4,B
463789,Female,53,Yes,Artist,Low,Cat_6,C
466947,Male,57,No,Executive,High,Cat_6,C
464150,Female,59,Yes,Artist,Average,Cat_6,C
465693,Female,25,Yes,Healthcare,High,Cat_4,A
461670,Male,59,Yes,Artist,Average,Cat_6,C
466768,Female,36,Yes,Artist,Low,Cat_6,C
461550,Male,37,Yes,Entertainment,Low,Cat_6,A
462438,Male,22,No,Doctor,Low,Cat_2,D
460704,Male,43,Yes,Artist,Low,Cat_6,B
464884,Male,41,Yes,Artist,Low,Cat_4,A
467050,Female,21,No,Engineer,Low,Cat_2,B
460738,Female,49,No,Engineer,Low,Cat_7,A
466176,Male,38,Yes,Doctor,Low,Cat_2,B
459488,Male,47,No,Artist,Average,Cat_6,A
467773,Male,70,Yes,Lawyer,High,Cat_6,C
465425,Female,31,No,Engineer,Low,Cat_6,B
462318,Female,82,No,Lawyer,Average,Cat_6,A
466078,Female,51,No,Executive,Low,Cat_6,A
460792,Female,42,No,Homemaker,Low,Cat_6,A
460197,Male,38,Yes,Artist,Low,Cat_2,A
459375,Male,18,No,Executive,High,Cat_6,A
463862,Male,50,Yes,Artist,Average,Cat_6,C
460144,Female,46,Yes,Doctor,Low,Cat_3,A
462721,Female,72,No,Lawyer,High,Cat_6,D
459637,Female,33,No,Engineer,Low,Cat_6,C
465809,Female,25,No,Homemaker,Low,Cat_4,B
466915,Female,75,No,Entertainment,High,Cat_2,D
467343,Male,72,Yes,Artist,Low,Cat_6,B
466268,Female,72,Yes,Artist,Average,Cat_4,C
464868,Male,36,Yes,Entertainment,Low,Cat_4,A
464038,Male,40,Yes,Artist,Low,Cat_6,A
460176,Female,28,Yes,Entertainment,Low,Cat_6,C
462161,Female,28,Yes,Doctor,Low,Cat_6,D
464841,Male,19,No,Entertainment,High,Cat_4,D
464893,Male,43,Yes,Artist,Low,Cat_4,B
464443,Female,35,Yes,Artist,Average,Cat_6,B
467619,Male,65,Yes,Lawyer,High,Cat_6,B
465974,Male,52,Yes,Executive,High,Cat_4,C
462075,Female,40,Yes,Artist,Low,Cat_6,B
459494,Female,69,No,Engineer,Low,Cat_6,A
466921,Female,22,No,Healthcare,Low,Cat_6,D
463544,Male,47,Yes,Executive,Average,Cat_6,C
461167,Male,29,Yes,Marketing,High,Cat_3,A
467364,Male,46,Yes,Artist,Average,Cat_3,C
462408,Male,32,Yes,Artist,Low,Cat_6,A
466224,Female,38,Yes,Healthcare,Low,Cat_2,C
465151,Male,59,Yes,Artist,Low,Cat_6,B
467216,Female,26,Yes,Entertainment,Low,Cat_6,D
460586,Male,26,Yes,Healthcare,Low,Cat_3,A
461197,Male,28,No,Marketing,Low,Cat_3,D
462776,Female,53,Yes,Engineer,Average,Cat_6,C
465058,Female,43,No,Entertainment,Low,Cat_6,B
464088,Male,27,No,Doctor,Low,Cat_6,D
459471,Female,32,No,Artist,Low,Cat_6,C
464695,Male,26,No,Engineer,Low,Cat_4,D
462331,Female,31,No,Entertainment,Low,Cat_6,D
466523,Male,39,Yes,Executive,High,Cat_3,B
465337,Female,43,No,Engineer,Low,Cat_7,A
460834,Male,25,No,Doctor,Low,Cat_1,A
466824,Male,40,Yes,Artist,High,Cat_6,A
461607,Female,40,Yes,Entertainment,Average,Cat_3,B
465091,Male,63,Yes,Entertainment,Average,Cat_6,C
459532,Female,27,Yes,Healthcare,Low,Cat_6,D
466999,Male,27,Yes,Healthcare,Low,Cat_6,D
466597,Female,19,No,Healthcare,Low,Cat_6,D
464075,Female,86,Yes,Lawyer,High,Cat_6,B
463394,Male,41,Yes,Marketing,High,Cat_6,B
462163,Female,27,Yes,Artist,Average,Cat_3,C
463895,Female,70,No,Doctor,Average,Cat_6,B
464767,Female,53,No,Engineer,Average,Cat_4,B
464763,Female,49,No,Engineer,Average,Cat_4,B
460718,Male,55,No,Executive,Low,Cat_4,D
461989,Female,57,Yes,Engineer,Average,Cat_2,C
466374,Male,83,No,Lawyer,Low,Cat_4,B
463738,Male,43,No,Executive,High,Cat_6,A
465967,Male,36,No,Doctor,Low,Cat_6,A
462260,Male,74,Yes,Lawyer,Low,Cat_6,C
467234,Female,30,No,Homemaker,Low,Cat_6,D
466573,Female,37,Yes,Artist,Low,Cat_6,B
463229,Female,22,No,Marketing,Low,Cat_5,B
459768,Male,19,No,Healthcare,Low,Cat_6,D
462541,Male,70,Yes,Engineer,High,Cat_6,B
467714,Male,89,Yes,Lawyer,Low,Cat_6,A
467730,Male,18,No,Healthcare,Low,Cat_6,D
459474,Male,25,Yes,Doctor,Low,Cat_2,D
460093,Female,45,Yes,Artist,Low,Cat_3,A
467865,Female,35,Yes,Artist,Low,Cat_4,A
465758,Female,37,No,Engineer,Low,Cat_4,D
464184,Female,39,No,Engineer,Average,Cat_6,B
462618,Female,32,Yes,Healthcare,Low,Cat_4,D
464226,Female,62,Yes,Artist,Average,Cat_6,C
465432,Female,58,Yes,Engineer,Average,Cat_4,B
464087,Female,32,No,Engineer,Low,Cat_6,C
466627,Male,25,No,Healthcare,Low,Cat_6,C
467380,Female,56,Yes,Artist,Average,Cat_6,C
465842,Female,36,Yes,Entertainment,Low,Cat_6,A
464622,Female,30,No,Healthcare,Low,Cat_6,A
462083,Male,19,No,Healthcare,Low,Cat_6,D
460910,Male,27,Yes,Healthcare,Low,Cat_6,A
460255,Female,38,Yes,Doctor,Low,Cat_6,A
460109,Male,46,Yes,Artist,Average,Cat_6,C
464306,Male,29,Yes,Artist,Low,Cat_6,B
466835,Male,51,No,Entertainment,Average,Cat_7,B
465192,Male,55,No,Artist,Low,Cat_6,A
463380,Female,69,Yes,Engineer,Low,Cat_3,A
462391,Female,26,No,Healthcare,Low,Cat_7,C
467086,Female,83,Yes,Lawyer,Low,Cat_6,A
460306,Female,39,Yes,Healthcare,Low,Cat_6,D
460752,Male,35,Yes,Artist,Low,Cat_6,A
467264,Male,19,No,Marketing,High,Cat_6,C
461646,Female,60,Yes,Artist,High,Cat_6,C
463570,Male,35,Yes,Artist,Average,Cat_6,C
465277,Female,53,Yes,Engineer,Low,Cat_6,B
467426,Female,86,No,Lawyer,Low,Cat_6,B
466258,Female,29,No,Healthcare,Low,Cat_6,B
463719,Female,26,No,Doctor,Low,Cat_6,D
460032,Male,36,Yes,Engineer,Low,Cat_6,A
465175,Female,22,No,Homemaker,Low,Cat_6,D
466610,Male,19,No,Marketing,Low,Cat_6,A
459036,Female,20,Yes,Lawyer,Average,Cat_3,A
464047,Male,43,Yes,Healthcare,Low,Cat_6,D
459496,Female,42,Yes,Artist,Low,Cat_6,A
459997,Male,43,Yes,Entertainment,Low,Cat_4,A
463382,Female,50,Yes,Engineer,High,Cat_6,B
460967,Male,25,Yes,Entertainment,Low,Cat_6,A
465094,Male,61,No,Artist,High,Cat_6,B
461229,Female,28,Yes,Healthcare,Average,Cat_6,A
466442,Male,38,Yes,Artist,Low,Cat_6,D
464527,Male,25,No,Executive,Low,Cat_6,A
463560,Female,18,No,Healthcare,Low,Cat_4,D
460011,Male,43,Yes,Entertainment,Average,Cat_5,C
467207,Female,27,Yes,Artist,Low,Cat_6,B
465177,Female,60,Yes,Entertainment,Low,Cat_6,D
467531,Male,75,Yes,Lawyer,Low,Cat_6,D
465409,Female,31,No,Doctor,Low,Cat_6,D
462842,Male,23,No,Doctor,Low,Cat_2,D
462124,Male,36,Yes,Artist,Low,Cat_6,A
466265,Male,30,No,Doctor,Low,Cat_3,C
459789,Male,56,No,Artist,Average,Cat_6,C
464223,Female,52,Yes,Artist,Low,Cat_6,C
460280,Male,39,Yes,Entertainment,Low,Cat_6,D
460331,Female,35,No,Artist,Low,Cat_6,A
461494,Male,33,No,Engineer,Average,Cat_6,B
460035,Female,25,Yes,Artist,Low,Cat_6,A
463812,Female,27,Yes,Artist,Average,Cat_4,B
465569,Male,35,Yes,Artist,High,Cat_6,A
466333,Female,41,Yes,Artist,Average,Cat_6,C
467668,Female,49,Yes,Artist,Average,Cat_7,C
462723,Female,46,No,Artist,Average,Cat_6,B
460909,Female,31,No,Healthcare,Low,Cat_6,D
467777,Male,49,Yes,Doctor,Low,Cat_6,C
462404,Female,26,Yes,Artist,Low,Cat_6,A
461799,Male,43,Yes,Doctor,High,Cat_6,B
459933,Female,30,Yes,Artist,Low,Cat_6,A
463717,Female,70,Yes,Artist,Average,Cat_6,C
463652,Female,28,Yes,Artist,Low,Cat_6,D
462149,Female,89,No,Lawyer,High,Cat_6,D
462769,Female,42,No,Homemaker,High,Cat_6,B
465532,Female,37,Yes,Entertainment,Average,Cat_4,A
462829,Male,29,No,Executive,Average,Cat_6,D
459210,Female,68,Yes,Artist,High,Cat_6,C
464659,Female,25,No,Engineer,Low,Cat_4,D
461411,Male,29,No,Healthcare,Low,Cat_6,D
467759,Female,48,Yes,Doctor,Low,Cat_6,C
461475,Female,51,Yes,Doctor,Average,Cat_1,C
462714,Female,40,Yes,Engineer,High,Cat_2,B
466890,Male,47,Yes,Artist,Average,Cat_7,B
462888,Male,39,Yes,Executive,High,Cat_6,B
467479,Male,35,Yes,Executive,Average,Cat_6,C
466799,Female,19,No,Healthcare,Low,Cat_6,D
466557,Female,21,No,Healthcare,Low,Cat_6,D
460873,Male,46,Yes,Entertainment,Average,Cat_4,B
466776,Male,86,Yes,Lawyer,Low,Cat_6,B
459462,Male,66,Yes,Artist,High,Cat_6,B
465727,Male,42,No,Marketing,Low,Cat_4,D
462348,Female,73,Yes,Lawyer,High,Cat_6,B
460941,Male,72,No,Engineer,Low,Cat_6,A
461629,Male,53,Yes,Artist,Low,Cat_6,B
459907,Female,39,Yes,Artist,Average,Cat_6,C
467146,Female,27,No,Homemaker,Low,Cat_6,D
460916,Male,63,No,Entertainment,Average,Cat_6,B
459196,Female,23,No,Healthcare,Low,Cat_4,D
465444,Female,30,Yes,Entertainment,Low,Cat_6,B
464186,Female,39,Yes,Artist,Average,Cat_6,C
466412,Male,26,Yes,Artist,Average,Cat_6,B
459480,Female,50,Yes,Entertainment,Low,Cat_6,A
467880,Female,45,Yes,Artist,Average,Cat_6,C
460216,Female,62,No,Entertainment,Low,Cat_6,A
467941,Female,27,Yes,Doctor,Low,Cat_6,A
466090,Male,57,Yes,Entertainment,Low,Cat_6,A
462572,Female,30,No,Engineer,Average,Cat_4,A
467443,Male,32,No,Healthcare,Low,Cat_3,A
462548,Male,18,No,Executive,Low,Cat_4,A
459701,Male,47,No,Artist,Low,Cat_5,B
461139,Female,32,Yes,Artist,Low,Cat_2,A
461115,Female,32,No,Engineer,Low,Cat_1,A
459027,Male,67,Yes,Doctor,Average,Cat_6,B
467340,Female,77,Yes,Lawyer,High,Cat_6,C
461410,Male,79,No,Unemployed,Average,Cat_7,C
460857,Male,31,No,Entertainment,Low,Cat_4,A
464300,Male,42,Yes,Artist,Low,Cat_4,A
460532,Female,18,No,Unemployed,Low,Cat_6,D
463287,Male,50,Yes,Artist,Average,Cat_2,C
461392,Male,71,Yes,Artist,Average,Cat_6,C
461546,Female,72,No,Lawyer,Low,Cat_6,A
467780,Male,47,Yes,Artist,Low,Cat_6,A
462130,Male,45,Yes,Artist,Average,Cat_6,C
464684,Female,40,No,Engineer,Low,Cat_4,A
462276,Female,36,Yes,Engineer,Low,Cat_6,A
462142,Female,42,Yes,Artist,Low,Cat_6,B
462417,Male,30,No,Healthcare,Low,Cat_6,D
466463,Female,29,Yes,Healthcare,Low,Cat_4,B
464736,Male,28,Yes,Engineer,Low,Cat_4,D
467520,Male,22,No,Healthcare,Low,Cat_6,D
459835,Male,85,No,Lawyer,Low,Cat_6,D
463855,Female,40,Yes,Artist,Average,Cat_6,C
460344,Female,52,Yes,Artist,Average,Cat_6,C
466211,Male,47,Yes,Artist,Low,Cat_6,C
460139,Male,26,No,Artist,Low,Cat_5,D
464126,Female,55,Yes,Marketing,Low,Cat_6,B
461286,Female,20,No,Doctor,Low,Cat_6,D
461621,Female,87,Yes,Lawyer,High,Cat_6,C
460163,Male,28,No,Healthcare,Low,Cat_4,A
461958,Male,38,No,Artist,Low,Cat_3,A
464875,Male,42,No,Entertainment,Low,Cat_4,B
464791,Male,42,No,Marketing,High,Cat_4,A
464579,Female,29,No,Engineer,Low,Cat_6,D
463531,Male,32,Yes,Doctor,Low,Cat_6,A
462651,Male,38,No,Executive,High,Cat_4,D
465486,Female,59,No,Artist,High,Cat_6,C
460882,Male,22,No,Healthcare,Low,Cat_3,D
467162,Female,26,No,Homemaker,Low,Cat_4,D
461298,Female,78,Yes,Artist,High,Cat_6,C
461595,Female,32,Yes,Healthcare,Low,Cat_4,A
459260,Male,37,Yes,Artist,Average,Cat_7,C
462772,Male,37,Yes,Healthcare,High,Cat_6,B
462941,Male,67,No,Lawyer,Low,Cat_6,D
459143,Male,47,No,Artist,High,Cat_6,B
464532,Female,68,Yes,Lawyer,High,Cat_6,A
460056,Male,30,Yes,Healthcare,Low,Cat_1,C
466761,Female,48,Yes,Entertainment,Low,Cat_1,A
465469,Female,43,Yes,Artist,Low,Cat_6,C
461886,Male,33,Yes,Healthcare,Low,Cat_6,D
465680,Male,31,No,Healthcare,Average,Cat_4,D
459316,Male,32,Yes,Healthcare,Low,Cat_6,D
465609,Female,21,No,Healthcare,Low,Cat_2,D
467009,Female,29,No,Homemaker,Low,Cat_3,D
461766,Female,35,Yes,Artist,Low,Cat_4,A
464938,Male,46,No,Artist,Low,Cat_4,A
462034,Female,38,Yes,Artist,High,Cat_2,B
464049,Female,32,Yes,Healthcare,Low,Cat_6,C
467925,Female,28,Yes,Artist,Low,Cat_2,A
463711,Female,68,Yes,Lawyer,Low,Cat_6,A
463846,Female,45,Yes,Artist,Low,Cat_6,C
462064,Male,58,Yes,Artist,Average,Cat_7,C
463249,Male,28,No,Entertainment,Low,Cat_7,A
464217,Female,32,No,Healthcare,Low,Cat_6,A
463378,Male,30,Yes,Doctor,Low,Cat_3,B
463035,Female,42,No,Homemaker,Average,Cat_6,D
459656,Male,22,No,Unemployed,Low,Cat_1,D
463114,Male,41,Yes,Artist,Low,Cat_6,C
465309,Female,18,No,Healthcare,Low,Cat_7,D
462688,Female,29,Yes,Healthcare,Low,Cat_3,D
459255,Female,33,Yes,Healthcare,Low,Cat_6,A
467385,Male,47,No,Artist,Low,Cat_4,A
467492,Female,57,Yes,Doctor,Low,Cat_7,A
460789,Male,36,Yes,Executive,Low,Cat_6,D
467307,Male,57,Yes,Executive,High,Cat_6,C
464026,Male,18,No,Healthcare,Low,Cat_6,D
464645,Male,52,Yes,Artist,Average,Cat_4,C
462493,Male,52,Yes,Artist,Average,Cat_6,C
460685,Male,51,No,Artist,Low,Cat_4,B
460452,Female,37,Yes,Entertainment,Average,Cat_1,B
459322,Male,36,Yes,Marketing,Low,Cat_6,A
464066,Female,29,Yes,Healthcare,Low,Cat_4,A
461114,Male,45,Yes,Artist,Average,Cat_3,C
